ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Fecha en que empieza el precio rebajado,Fecha en que termina el precio de oferta,Estado del impuesto,Clase de impuesto,¿En stock?,Stock,Cantidad de bajo stock,¿Permitir reservas de productos agotados?,Vendido Individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir reseñas de clientes?,Notas de la compra,Precio de oferta,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Atributo predeterminado 1
,variable,153,,ES COLONIA BJ 5071,1,0,visible,Las imágenes son ilustrativas,"DESODORANTE DE PISO,",,,taxable,,1,,,0,0,,,,,1,,,,CÍTRICO,CÍTRICO,,http://localhost:8069/wp-content/uploads/2026/03/ES-COLONIA-BJ-5071.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES COLONIA BJ 5071 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,153,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES COLONIA BJ 5071 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,153,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES COLONIA BJ 5071 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,153,,,,,,3,,Presentaciones,5 Litros,,0,
,variation,,,ES COLONIA BJ 5071 - 10 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,153,,,,,,4,,Presentaciones,10 Litros,,0,
,variation,,,ES COLONIA BJ 5071 - 20 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,153,,,,,,5,,Presentaciones,20 Litros,,0,
,variable,167,,ES COLONIA CÍTRICA 5008,1,0,visible,Las imágenes son ilustrativas,"DESODORANTE DE PISO,",,,taxable,,1,,,0,0,,,,,1,,,,CÍTRICO,CÍTRICO,,http://localhost:8069/wp-content/uploads/2026/03/ES-COLONIA-CITRICA-5008.webp,,,,,,,,,0,,Presentaciones,"1 Litro, 2 Litros, 5 Litros, 10 Litros, 20 Litros",1,0,1 Litro
,variation,,,ES COLONIA CÍTRICA 5008 - 1 Litro,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,167,,,,,,1,,Presentaciones,1 Litro,,0,
,variation,,,ES COLONIA CÍTRICA 5008 - 2 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,167,,,,,,2,,Presentaciones,2 Litros,,0,
,variation,,,ES COLONIA CÍTRICA 5008 - 5 Litros,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,0,,,,,,,167,,,,,,3,,Presentaciones,5 Litros,,0,
